구분,내용
닉네임,율무
메일제목,새로운 환경에서 로그인 되었습니다.
메일제목,2단계 인증 로그인이 해제되었습니다.
메일제목,(광고)이*재 회원님의 10월 마일리지 현황 및 새로운 소식을 안내드립니다.
메일제목,(광고)온라인에서 만나는 뷰티 페스타 <뷰티 美지엄>▶럭셔리 & 트렌디 뷰티 ~15% 쿠폰
메일제목,(광고)온라인에서 만나는 뷰티 페스타 <뷰티 美지엄>▶럭셔리 & 트렌디 뷰티 ~15% 쿠폰
메일제목,"(광고) 〈살고 싶지만 못 사는 집, 해결책은 있을까요〉 인문 위클리 레터 제 251호"
메일제목,"(광고) 진짜 현금(2,000원) 주는 설문조사하고 20만원 상품권까지 받자!"
메일제목,(광고)[옥션] 송중기 추천★ 닥터린 오메가3 외 한정특가! 최대 15% 할인 쿠폰+10% 캐시 적립+7% 카드 할인까지~
메일제목,(광고)[G마켓] 월간 G 뷰티 오픈 ♥ 지금 많이 찾는 찬바람 스킨케어템 총집합!
메일제목,(안내)[신세계포인트] 광고성 정보 수신동의 안내
메일제목,"(광고)매주 수요일 단 하루, 수퍼세일▶리빙 카테고리 24시간 한정 할인쿠폰과 카드혜택"
메일제목,"(광고)매주 수요일 단 하루, 수퍼세일▶리빙 카테고리 24시간 한정 할인쿠폰과 카드혜택"
메일제목,"[데브레터 코멘터리] 어떤 순서로, 어떤 과정을 거쳐 AI 애플리케이션을 개발해야 할까?"
메일제목,(광고)✨방향제 최대42%할인✨『카카오프렌즈 10월 브랜드위크』행사 오픈!/🎁초미니 다이어리🎁『물에 젖지 않는 미니 키링 출시!』단독 선런칭
메일제목,(광고)[옥션] 별미★10월 셋째 주 가을 최고의 별미 전어 2kg 1만원대~
